time,aceptados,rechazados_lleno,rechazados_tasa,ocupacion_buffer
21675,3300,0,9217,0
21726,3300,0,9248,0
21778,3300,0,9282,0
21831,3300,0,9307,0
21882,3300,0,9338,0
21935,3300,0,9368,0
21985,3300,0,9401,0
22035,3300,0,9425,0
22088,3312,0,9438,1
22139,3326,0,9456,1
22191,3337,0,9469,1
22242,3351,0,9479,1
22292,3368,0,9487,2
22344,3399,0,9487,7
22398,3413,0,9504,1
22449,3434,0,9522,1
22499,3450,0,9528,0
22558,3450,0,9559,0
22608,3450,0,9593,0
22658,3450,0,9617,0
22709,3450,0,9646,0
22761,3450,0,9668,0
22811,3450,0,9686,0
22861,3450,0,9715,0
22911,3450,0,9739,0
22961,3450,0,9764,0
23011,3450,0,9790,0
23062,3455,0,9808,1
23112,3470,0,9818,3
23162,3483,0,9829,0
23213,3494,0,9844,1
23266,3510,0,9857,1
23317,3528,0,9860,1
23371,3555,0,9860,1
23421,3570,0,9869,2
23473,3594,0,9869,4
23525,3600,0,9891,0
23575,3600,0,9932,0
23626,3600,0,9980,0
23676,3600,0,9999,0
23727,3600,0,10021,0
23779,3600,0,10051,0
23833,3600,0,10075,0
23888,3600,0,10112,0
23942,3600,0,10137,0
23994,3600,0,10161,0
24045,3601,0,10182,0
24095,3614,0,10194,2
24147,3627,0,10204,1
24197,3638,0,10223,2
24247,3650,0,10235,1
24308,3666,0,10243,1
24358,3694,0,10244,1
24409,3714,0,10251,1
24463,3734,0,10268,1
24514,3750,0,10282,0
24566,3750,0,10305,0
24617,3750,0,10331,0
24669,3750,0,10368,0
24720,3750,0,10394,0
24771,3750,0,10427,0
24821,3750,0,10453,0
24872,3750,0,10487,0
24923,3750,0,10519,0
24973,3750,0,10551,0
25025,3750,0,10576,0
25076,3758,0,10606,1
25126,3770,0,10626,0
25176,3784,0,10642,0
25229,3797,0,10660,1
25281,3812,0,10680,2
25332,3826,0,10698,1
25382,3852,0,10699,3
25434,3871,0,10701,1
25484,3894,0,10705,2
25534,3900,0,10729,0
25584,3900,0,10804,0
25636,3900,0,10833,0
25688,3900,0,10862,0
25739,3900,0,10891,0
25789,3900,0,10922,0
25840,3900,0,10951,0
25895,3900,0,10979,0
25946,3900,0,10998,0
25997,3900,0,11020,0
26047,3901,0,11095,0
26098,3914,0,11120,1
26149,3927,0,11144,1
26204,3938,0,11160,1
26255,3952,0,11184,1
26305,3965,0,11208,0
26355,3986,0,11217,2
26405,4011,0,11217,1
26455,4029,0,11231,0
26506,4050,0,11236,0
26556,4050,0,11266,0
26607,4050,0,11290,0
26657,4050,0,11314,0
26710,4050,0,11344,0
26761,4050,0,11368,0
26811,4050,0,11400,0
26862,4050,0,11430,0
26917,4050,0,11469,0
26967,4050,0,11491,0
27017,4050,0,11523,0
27068,4055,0,11544,1
27122,4069,0,11555,1
27174,4081,0,11567,1
27225,4096,0,11591,1
27276,4107,0,11607,1
27330,4121,0,11614,1
27383,4146,0,11618,1
27435,4169,0,11618,4
27486,4191,0,11620,3
27536,4200,0,11638,0
27588,4200,0,11663,0
27638,4200,0,11692,0
27689,4200,0,11718,0
27742,4200,0,11753,0
27795,4200,0,11834,0
27845,4200,0,11859,0
27897,4200,0,11878,0
27947,4200,0,11901,0
27999,4200,0,11936,0
28050,4201,0,11957,1
28102,4212,0,11977,1
28152,4227,0,11993,1
28202,4237,0,12017,1
28252,4251,0,12039,1
28303,4263,0,12056,1
28353,4281,0,12059,3
28403,4300,0,12073,2
28453,4326,0,12080,0
28503,4346,0,12096,1
28553,4350,0,12127,0
28603,4350,0,12161,0
28654,4350,0,12234,0
28705,4350,0,12263,0
28756,4350,0,12306,0
28806,4350,0,12338,0
28857,4350,0,12371,0
28908,4350,0,12397,0
28960,4350,0,12418,0
29019,4350,0,12451,0
29069,4354,0,12477,0
29119,4366,0,12500,2
29169,4378,0,12518,1
29222,4394,0,12535,1
29274,4405,0,12551,0
29324,4418,0,12564,1
29376,4439,0,12581,1
29426,4459,0,12591,1
29480,4485,0,12595,1
29530,4500,0,12601,0
29580,4500,0,12633,0
29630,4500,0,12652,0
29682,4500,0,12672,0
29732,4500,0,12702,0
29783,4500,0,12733,0
29833,4500,0,12762,0
29884,4500,0,12796,0
29934,4500,0,12822,0
29984,4500,0,12844,0
30034,4500,0,12870,0
30084,4508,0,12898,2
30136,4522,0,12912,0
30186,4535,0,12925,2
30236,4546,0,12941,0
30286,4557,0,12960,0
30340,4571,0,12978,1
30390,4596,0,12989,1
30440,4614,0,12995,3
30491,4635,0,12995,1
30541,4650,0,13013,0
30592,4650,0,13034,0
30647,4650,0,13064,0
30698,4650,0,13089,0
30752,4650,0,13116,0
30802,4650,0,13136,0
30857,4650,0,13167,0
30907,4650,0,13191,0
30959,4650,0,13220,0
31009,4650,0,13251,0
31060,4652,0,13276,1
31110,4664,0,13300,1
31162,4677,0,13311,0
31220,4691,0,13326,1
31271,4703,0,13340,1
31324,4717,0,13352,1
31376,4737,0,13361,1
31426,4757,0,13367,1
31476,4778,0,13369,4
31527,4800,0,13371,0
31577,4800,0,13395,0
31629,4800,0,13419,0
31684,4800,0,13446,0
31736,4800,0,13473,0
31786,4800,0,13498,0
31836,4800,0,13524,0
31886,4800,0,13555,0
31936,4800,0,13586,0
31986,4800,0,13609,0
32037,4800,0,13635,0
32087,4805,0,13663,0
32138,4820,0,13668,1
32188,4831,0,13677,1
32239,4846,0,13700,0
32289,4857,0,13719,1
32341,4871,0,13738,1
32392,4891,0,13748,1
32445,4911,0,13750,1
32498,4928,0,13750,1
32551,4950,0,13755,0
32604,4950,0,13777,0
32655,4950,0,13799,0
32705,4950,0,13820,0
32756,4950,0,13845,0
32808,4950,0,13878,0
32859,4950,0,13910,0
32910,4950,0,13936,0
32961,4950,0,13962,0
33011,4950,0,13985,0
33062,4951,0,14007,0
33112,4964,0,14022,0
33163,4977,0,14037,0
33215,4989,0,14055,1
33266,5002,0,14077,1
33317,5015,0,14094,1
33370,5030,0,14109,1
33420,5047,0,14115,2
33472,5070,0,14117,2
33522,5085,0,14125,1
33572,5100,0,14129,0
33623,5100,0,14159,0
33673,5100,0,14188,0
33723,5100,0,14212,0
33774,5100,0,14244,0
33824,5100,0,14266,0
33884,5100,0,14288,0
33934,5100,0,14313,0
33985,5100,0,14345,0
34036,5100,0,14367,0
34086,5105,0,14384,1
34138,5116,0,14399,1
34189,5130,0,14411,1
34241,5146,0,14414,1
34294,5157,0,14441,1
34344,5172,0,14451,3
34394,5191,0,14462,4
34447,5211,0,14470,1
34498,5225,0,14479,1
34548,5243,0,14489,1
34598,5250,0,14508,0
34648,5250,0,14542,0
34702,5250,0,14574,0
34752,5250,0,14602,0
34804,5250,0,14638,0
34861,5250,0,14667,0
34917,5250,0,14689,0
34973,5250,0,14721,0
35025,5250,0,14743,0
35078,5253,0,14765,1
35128,5265,0,14771,0
35179,5278,0,14777,0
35229,5291,0,14788,1
35279,5304,0,14797,1
35329,5317,0,14815,0
35379,5332,0,14821,2
35433,5350,0,14837,1
35484,5371,0,14855,1
35535,5385,0,14864,1
35587,5400,0,14882,0
35637,5400,0,14909,0
35689,5400,0,14938,0
35739,5400,0,14965,0
35790,5400,0,14993,0
35840,5400,0,15070,0
35892,5400,0,15102,0
35942,5400,0,15132,0
35994,5400,0,15155,0
36044,5400,0,15194,0
36096,5405,0,15232,0
36147,5419,0,15247,2
36197,5432,0,15258,1
36247,5445,0,15277,1
36297,5456,0,15292,0
36351,5469,0,15304,1
36401,5491,0,15312,3
36459,5508,0,15330,1
36509,5527,0,15338,1
36559,5545,0,15353,2
36613,5550,0,15377,0
36665,5550,0,15403,0
36721,5550,0,15438,0
36771,5550,0,15467,0
36821,5550,0,15499,0
36873,5550,0,15531,0
36924,5550,0,15558,0
36974,5550,0,15588,0
37024,5550,0,15618,0
37074,5552,0,15649,1
37125,5560,0,15657,1
37176,5577,0,15672,1
37228,5590,0,15682,1
37278,5603,0,15696,1
37330,5616,0,15712,1
37384,5630,0,15735,1
37435,5650,0,15742,1
37485,5668,0,15751,1
37535,5685,0,15764,1
37585,5700,0,15780,0
37640,5700,0,15806,0
37690,5700,0,15839,0
37743,5700,0,15867,0
37793,5700,0,15899,0
37844,5700,0,15922,0
37894,5700,0,15947,0
37944,5700,0,15977,0
37995,5700,0,16006,0
38046,5700,0,16035,0
38098,5705,0,16066,0
38148,5717,0,16081,1
38203,5732,0,16103,1
38254,5746,0,16117,2
38305,5759,0,16130,2
38357,5769,0,16146,1
38410,5789,0,16156,1
38465,5806,0,16166,1
38515,5828,0,16167,3
38566,5846,0,16176,1
38618,5850,0,16196,0
38668,5850,0,16218,0
38719,5850,0,16254,0
38771,5850,0,16279,0
38821,5850,0,16307,0
38871,5850,0,16332,0
38924,5850,0,16351,0
38976,5850,0,16389,0
39026,5850,0,16412,0
39077,5852,0,16438,0
39128,5860,0,16463,0
39179,5875,0,16482,1
39234,5890,0,16499,1
39284,5904,0,16513,1
39334,5915,0,16518,2
39384,5928,0,16536,2
39434,5949,0,16551,2
39485,5962,0,16577,1
39541,5985,0,16583,1
39591,6000,0,16593,0
39642,6000,0,16627,0
39694,6000,0,16653,0
39745,6000,0,16682,0
39795,6000,0,16703,0
39848,6000,0,16725,0
39898,6000,0,16752,0
39948,6000,0,16771,0
40005,6000,0,16799,0
40056,6000,0,16833,0
40107,6005,0,16860,0
40157,6020,0,16874,1
40212,6033,0,16891,1
40262,6045,0,16907,2
40312,6059,0,16917,1
40364,6070,0,16943,1
40416,6090,0,16958,1
40468,6106,0,16974,1
40522,6125,0,16975,2
40575,6145,0,16978,1
40625,6150,0,17001,0
40679,6150,0,17030,0
40729,6150,0,17053,0
40780,6150,0,17081,0
40830,6150,0,17107,0
40880,6150,0,17128,0
40930,6150,0,17163,0
40982,6150,0,17189,0
41032,6150,0,17226,0
41088,6153,0,17249,1
41139,6163,0,17273,0
41189,6176,0,17278,0
41241,6191,0,17290,1
41292,6205,0,17307,1
41342,6215,0,17320,2
41392,6230,0,17336,2
41443,6250,0,17352,1
41494,6262,0,17370,0
41547,6285,0,17375,3
41597,6300,0,17392,0
41651,6300,0,17414,0
41703,6300,0,17446,0
41753,6300,0,17475,0
41806,6300,0,17494,0
41861,6300,0,17522,0
41911,6300,0,17538,0
41962,6300,0,17571,0
42012,6300,0,17594,0
42065,6301,0,17623,1
